epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.6168,2.61358,2.79462,1.85218,0.02722,0.68056,0.41078,0.12108,2.31833,3.04892,1.76526,0.0005,0.0005,0.0955
2,97.0821,2.26917,1.96901,1.54122,0.02778,0.69444,0.45185,0.12949,2.24853,2.9962,1.75444,0.00108911,0.00108911,0.0900891
3,169.562,2.31325,1.87051,1.53946,0.02889,0.72222,0.30773,0.09028,2.5059,2.9804,2.09061,0.00166634,0.00166634,0.0846663
4,206.045,2.25246,1.74254,1.51427,0.02944,0.73611,0.28355,0.09877,2.2954,2.85558,2.02016,0.00223169,0.00223169,0.0792317
5,319.653,2.281,1.70321,1.57336,0.70753,0.20176,0.28679,0.1011,2.36626,2.65273,2.20302,0.00278516,0.00278516,0.0737852
6,477.41,2.31753,1.75328,1.56668,0.216,0.16839,0.098,0.02348,2.78864,2.82205,2.82285,0.00332675,0.00332675,0.0683268
7,802.5,2.21692,1.61075,1.52572,0.01444,0.36111,0.00616,0.0016,3.00876,3.88256,2.81112,0.00385646,0.00385646,0.0628565
8,939.477,2.24253,1.67896,1.56412,0.00279,0.06944,0.00019,4e-05,4.24353,73.2407,8.87656,0.00437429,0.00437429,0.0573743
9,982.239,2.26409,1.69368,1.61539,0,0,0,0,5.34869,267.492,20.1953,0.00488024,0.00488024,0.0518802
10,1026.52,2.30282,1.69154,1.60511,0,0,0,0,4.40498,325.669,7.58181,0.00537431,0.00537431,0.0463743
11,1221.61,2.28627,1.63814,1.55639,0,0,0,0,4.51234,171.058,7.85415,0.0058565,0.0058565,0.0408565
12,1421.71,2.2584,1.64794,1.55479,0.00191,0.01389,4e-05,0,4.28211,24.3051,5.94698,0.00632681,0.00632681,0.0353268
13,1665.9,2.2097,1.61665,1.56322,0.00278,0.06944,0.00019,6e-05,4.45603,21.4168,7.47751,0.00678524,0.00678524,0.0297852
14,1796.78,2.21307,1.57665,1.56158,0.00417,0.06944,0.00031,6e-05,4.29261,154.05,9.58934,0.00723179,0.00723179,0.0242318
