epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,2153.39,2.14024,1.49054,1.52903,0.00591,0.09722,0.00057,0.00016,3.6729,566.961,9.45353,0.00808925,0.00808925,0.0130892
1,238.597,2.61743,2.86231,1.92364,0.01133,0.23611,0.00612,0.00144,2.74789,3.48144,2.3659,5e-05,5e-05,0.09505
17,2414,2.21689,1.60113,1.57254,0.00417,0.06944,0.00098,0.00023,3.51612,262.063,6.37342,0.008416,0.008416,0.008416
2,490.274,2.26302,2.20344,1.56546,0.02722,0.68056,0.26888,0.07881,2.49897,3.39551,1.81591,0.000108911,0.000108911,0.0891089
18,2658.58,2.22181,1.54601,1.58583,0.00864,0.20833,0.00404,0.00119,3.61085,452.011,6.66329,0.008317,0.008317,0.008317
3,727.003,2.25609,2.03718,1.53021,0.03167,0.79167,0.35978,0.10991,2.32065,2.97745,1.6245,0.000166634,0.000166634,0.0831666
19,2792.29,2.2259,1.50532,1.57647,0.00864,0.20833,0.00404,0.00119,3.61085,452.011,6.66329,0.008218,0.008218,0.008218
4,856.308,2.13431,1.82704,1.50889,0.03167,0.79167,0.42994,0.14465,2.29042,2.86436,1.55331,0.000223169,0.000223169,0.0772232
20,3199.93,2.14179,1.48071,1.54115,0.00278,0.06944,0.00027,7e-05,3.53397,460.101,6.15391,0.008119,0.008119,0.008119
5,1310.83,2.15625,1.73162,1.51191,0.03278,0.81944,0.55042,0.18255,2.26,2.78296,1.53896,0.000278516,0.000278516,0.0712785
21,3448.53,2.15132,1.42641,1.49173,0.01002,0.18056,0.00229,0.00047,3.6603,28.7829,4.13756,0.00802,0.00802,0.00802
6,1482.8,2.21172,1.67373,1.52759,0.03389,0.84722,0.60663,0.20002,2.2079,2.74797,1.49429,0.000332675,0.000332675,0.0653327
22,3536.27,2.18083,1.43618,1.53143,0.0392,0.09722,0.01072,0.00226,3.26877,4.02472,3.19557,0.007921,0.007921,0.007921
7,1565.93,2.09924,1.57599,1.48833,0.03556,0.88889,0.72686,0.23905,2.17585,2.74238,1.46872,0.000385646,0.000385646,0.0593856
8,1638.93,2.15918,1.52469,1.53965,0.03556,0.88889,0.71924,0.22291,2.15751,2.72422,1.47648,0.000437429,0.000437429,0.0534374
9,1689.98,2.11536,1.55066,1.56638,0.03444,0.86111,0.69548,0.22478,2.16793,2.67778,1.4691,0.000488024,0.000488024,0.047488
10,1735.14,2.1885,1.50504,1.53377,0.70232,0.62262,0.68033,0.22418,2.20179,2.5424,1.434,0.000537431,0.000537431,0.0415374
11,1843.63,2.21358,1.50313,1.51848,0.76899,0.36997,0.61854,0.18111,2.38878,2.50989,1.48784,0.00058565,0.00058565,0.0355857
12,1880.59,2.09385,1.50223,1.4988,0.85646,0.24868,0.59921,0.16011,2.53626,2.42922,1.52803,0.000632681,0.000632681,0.0296327
13,1918.31,2.09757,1.49389,1.49379,0.81346,0.36346,0.6586,0.19452,2.41612,2.25689,1.49005,0.000678524,0.000678524,0.0236785
14,1956.81,2.11429,1.45989,1.46271,0.744,0.625,0.72865,0.28298,2.21463,1.98094,1.42109,0.000723179,0.000723179,0.0177232
15,1991.69,2.08815,1.38935,1.39772,0.744,0.625,0.72865,0.28298,2.21463,1.98094,1.42109,0.000766646,0.000766646,0.0117666
16,2148.66,2.04398,1.42179,1.43999,0.66427,0.65278,0.71563,0.28366,2.14331,1.79051,1.42839,0.000808925,0.000808925,0.00580892
17,2190.2,2.06584,1.48081,1.46837,0.71673,0.59722,0.71509,0.27559,2.13963,1.66123,1.44909,0.0008416,0.0008416,0.0008416
18,2221.21,2.07001,1.42128,1.45296,0.74719,0.61578,0.73975,0.25831,2.19484,1.60268,1.4996,0.0008317,0.0008317,0.0008317
19,2250.28,2.09244,1.40704,1.44817,0.74719,0.61578,0.73975,0.25831,2.19484,1.60268,1.4996,0.0008218,0.0008218,0.0008218
20,2280.96,2.06214,1.39797,1.43745,0.69071,0.65278,0.73794,0.23692,2.23887,1.61204,1.54115,0.0008119,0.0008119,0.0008119
21,2307.51,2.07927,1.36111,1.40736,0.7852,0.66006,0.72622,0.2534,2.19265,1.58871,1.52236,0.000802,0.000802,0.000802
22,2351.65,2.06597,1.353,1.43749,0.74358,0.72222,0.74709,0.26562,2.16883,1.56403,1.49691,0.0007921,0.0007921,0.0007921
23,2668.1,2.03866,1.32172,1.43116,0.74358,0.72222,0.74709,0.26562,2.16883,1.56403,1.49691,0.0007822,0.0007822,0.0007822
24,2736.02,2.02187,1.35504,1.4289,0.73403,0.75,0.76427,0.2842,2.17052,1.51884,1.49307,0.0007723,0.0007723,0.0007723
25,2792.97,2.05065,1.3372,1.42623,0.73504,0.73213,0.76999,0.27225,2.14665,1.47233,1.4976,0.0007624,0.0007624,0.0007624
26,2846.2,2.01308,1.29701,1.38633,0.73835,0.69444,0.7321,0.25843,2.18635,1.51396,1.51289,0.0007525,0.0007525,0.0007525
27,3229.32,2.01977,1.33524,1.38391,0.73835,0.69444,0.7321,0.25843,2.18635,1.51396,1.51289,0.0007426,0.0007426,0.0007426
28,3354.83,2.03735,1.32653,1.39861,0.74392,0.65278,0.72999,0.24709,2.18062,1.50993,1.49571,0.0007327,0.0007327,0.0007327
29,3385.15,2.06954,1.31126,1.41268,0.78195,0.63889,0.76339,0.24652,2.17812,1.49151,1.49155,0.0007228,0.0007228,0.0007228
30,3409.8,2.00048,1.31823,1.40237,0.75169,0.67279,0.74768,0.24662,2.15739,1.51901,1.48645,0.0007129,0.0007129,0.0007129
31,3432.86,2.0368,1.35815,1.39926,0.75169,0.67279,0.74768,0.24662,2.15739,1.51901,1.48645,0.000703,0.000703,0.000703
32,3455.59,2.056,1.30786,1.38339,0.74541,0.73202,0.75932,0.24867,2.14964,1.49166,1.4806,0.0006931,0.0006931,0.0006931
33,3478.17,2.00734,1.31416,1.36839,0.7341,0.72859,0.72038,0.23791,2.18852,1.48788,1.48694,0.0006832,0.0006832,0.0006832
34,3504.88,2.01284,1.31478,1.38953,0.78471,0.65815,0.71224,0.22954,2.20859,1.50377,1.50024,0.0006733,0.0006733,0.0006733
35,3528.23,1.9867,1.28748,1.39171,0.78471,0.65815,0.71224,0.22954,2.20859,1.50377,1.50024,0.0006634,0.0006634,0.0006634
36,3552.61,1.97973,1.27418,1.37022,0.77571,0.66667,0.72274,0.23936,2.17573,1.47521,1.49036,0.0006535,0.0006535,0.0006535
37,3578.82,2.0245,1.27019,1.35084,0.80423,0.69444,0.74316,0.23836,2.18973,1.47825,1.50996,0.0006436,0.0006436,0.0006436
38,3601.11,1.97964,1.2948,1.38829,0.83726,0.66667,0.76383,0.24716,2.19592,1.48383,1.52702,0.0006337,0.0006337,0.0006337
39,3647.29,1.98035,1.28211,1.36966,0.83726,0.66667,0.76383,0.24716,2.19592,1.48383,1.52702,0.0006238,0.0006238,0.0006238
40,3675.11,2.0101,1.27844,1.41578,0.77796,0.66667,0.74172,0.24756,2.17266,1.47074,1.52368,0.0006139,0.0006139,0.0006139
41,3702.83,1.96587,1.23045,1.36763,0.79656,0.65278,0.73203,0.26264,2.15403,1.48826,1.51667,0.000604,0.000604,0.000604
42,3723.85,1.97833,1.20821,1.36875,0.81355,0.60608,0.73575,0.25333,2.186,1.52585,1.5292,0.0005941,0.0005941,0.0005941
43,3745.2,1.9449,1.19474,1.34771,0.81355,0.60608,0.73575,0.25333,2.186,1.52585,1.5292,0.0005842,0.0005842,0.0005842
44,3766.91,1.95079,1.20883,1.34366,0.84677,0.61404,0.75711,0.26447,2.19346,1.49816,1.52816,0.0005743,0.0005743,0.0005743
