split,name,source_stem,is_representative,class,class_reason,n_boxes,near_gray,style_tags
train,OHI_dataset_MG_3837_JPG.rf.18d7bbe8ea46ea9f1cb8e2ecdbfe5967.jpg,OHI_dataset_MG_3837_JPG,True,KEEP,color_clinical_like,14,False,photo_like
train,OHI_dataset_MG_3837_JPG.rf.3faea53ecb8bdee0ed881ae319c7dba3.jpg,OHI_dataset_MG_3837_JPG,False,EXCLUDE,roboflow_augmentation_duplicate,14,False,photo_like
train,OHI_dataset_MG_3837_JPG.rf.811946790dd4715c32f9ae13f199cbfe.jpg,OHI_dataset_MG_3837_JPG,False,EXCLUDE,roboflow_augmentation_duplicate,14,False,photo_like
train,OHI_dataset_MG_3838_JPG.rf.1c0713948ca7437e367d958a86d176c3.jpg,OHI_dataset_MG_3838_JPG,True,KEEP,color_clinical_like,15,False,photo_like
train,OHI_dataset_MG_3838_JPG.rf.a3fb33f528f45d88e76ee65746e08b89.jpg,OHI_dataset_MG_3838_JPG,False,EXCLUDE,roboflow_augmentation_duplicate,15,False,photo_like
train,OHI_dataset_MG_3838_JPG.rf.b73f0ef74581cb4275a017aa6b910dce.jpg,OHI_dataset_MG_3838_JPG,False,EXCLUDE,roboflow_augmentation_duplicate,15,False,photo_like
train,OHI_dataset_MG_3852_JPG.rf.2d94f42f28f1452dc8f4033c9ad58563.jpg,OHI_dataset_MG_3852_JPG,True,KEEP,color_clinical_like,26,False,photo_like
train,OHI_dataset_MG_3852_JPG.rf.343fc396a5c167df7e5ef3130bc02ec4.jpg,OHI_dataset_MG_3852_JPG,False,EXCLUDE,roboflow_augmentation_duplicate,26,False,photo_like
train,OHI_dataset_MG_3852_JPG.rf.523fcc664f46b9a4b38a10f72cfd9c7f.jpg,OHI_dataset_MG_3852_JPG,False,EXCLUDE,roboflow_augmentation_duplicate,26,False,photo_like
train,OHI_dataset_MG_3889_JPG.rf.1e21792e6e4a29ef6d3f5596f5591a22.jpg,OHI_dataset_MG_3889_JPG,True,KEEP,color_clinical_like,27,False,photo_like
train,OHI_dataset_MG_3889_JPG.rf.bf0412bec550359937b027a1f4b74e6b.jpg,OHI_dataset_MG_3889_JPG,False,EXCLUDE,roboflow_augmentation_duplicate,27,False,photo_like
train,OHI_dataset_MG_3889_JPG.rf.ce98d0cfc8b9c3ff4514334192205695.jpg,OHI_dataset_MG_3889_JPG,False,EXCLUDE,roboflow_augmentation_duplicate,27,False,photo_like
