split,grade,src,dest,source_image_id,label_id,status,reason,crop_hash,content_hash
val,0,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\1\tooth_000.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v3\val\0\1_tooth_000.jpg,1,1,INCLUDED,,f0980482e4e66b9e98d76a44a703188345321c0dc5f2740a8e2de878765efb0e,e5af0a561ec0ea31848d98a0dcaf6d7691ba4e0abbce248d35dae6b26871dc88
val,0,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\1\tooth_001.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v3\val\0\2_tooth_001.jpg,1,2,INCLUDED,,0ba9c86bec4d686614052ebdd78286fb86204aae0e2a4c782552656628694dfb,e5af0a561ec0ea31848d98a0dcaf6d7691ba4e0abbce248d35dae6b26871dc88
val,2,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\1\tooth_002.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v3\val\2\3_tooth_002.jpg,1,3,INCLUDED,,d66d978ab15dcfb9815db8aa2a62315a5fc912db40117f401814e209f556d324,e5af0a561ec0ea31848d98a0dcaf6d7691ba4e0abbce248d35dae6b26871dc88
val,1,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\1\tooth_003.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v3\val\1\4_tooth_003.jpg,1,4,INCLUDED,,69d8ef9086fef900cf24867a5ab7f6447b9e77233831ba7679ba906a415e7240,e5af0a561ec0ea31848d98a0dcaf6d7691ba4e0abbce248d35dae6b26871dc88
val,2,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\1\tooth_004.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v3\val\2\5_tooth_004.jpg,1,5,INCLUDED,,1d0ec625b143cc0bcc3c32f74607dae295a1838b90329784c77d344bd925c670,e5af0a561ec0ea31848d98a0dcaf6d7691ba4e0abbce248d35dae6b26871dc88
val,2,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\1\tooth_005.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v3\val\2\6_tooth_005.jpg,1,6,INCLUDED,,25ce701348eb5ff430056b44d3fcae57c198be94d5004c58e370f6aa7c9de62b,e5af0a561ec0ea31848d98a0dcaf6d7691ba4e0abbce248d35dae6b26871dc88
val,1,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\1\tooth_006.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v3\val\1\7_tooth_006.jpg,1,7,INCLUDED,,6b61d3658aeef2dee5130205126ff9fac404ebcd717d79a29297292e007f5cd3,e5af0a561ec0ea31848d98a0dcaf6d7691ba4e0abbce248d35dae6b26871dc88
train,3,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\3\crop_22.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v3\train\3\22_crop_22.jpg,3,22,INCLUDED,,0063b9f5c56426777de8ac596bb3276c0559317883d2626fe8d7a6b645405638,81426853a90f669c1332b453ac8b5cd5583f29f68e1966bcc65c7bf9786d67b2
train,0,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\3\crop_23.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v3\train\0\23_crop_23.jpg,3,23,INCLUDED,,c4945bb109c84ebafbc1d660aaab55314ba4bd19451a0207d91e016c9d8d98fa,81426853a90f669c1332b453ac8b5cd5583f29f68e1966bcc65c7bf9786d67b2
train,4,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\3\crop_24.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v3\train\4\24_crop_24.jpg,3,24,INCLUDED,,d58fa8a2ccfc567cc7e2fd7b88fa082f5cb481506dcd5f0d3018a9f89135e8f8,81426853a90f669c1332b453ac8b5cd5583f29f68e1966bcc65c7bf9786d67b2
train,3,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\3\crop_25.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v3\train\3\25_crop_25.jpg,3,25,INCLUDED,,94536a23c6a4ad69c2891cdb059246f582b6abf94c1e4d6bc8c07416ba911d18,81426853a90f669c1332b453ac8b5cd5583f29f68e1966bcc65c7bf9786d67b2
train,2,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\3\crop_26.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v3\train\2\26_crop_26.jpg,3,26,INCLUDED,,6ad7a085fd80c1be85ea68c8672ef42e3245409667ff159ab6d881035d10ed0d,81426853a90f669c1332b453ac8b5cd5583f29f68e1966bcc65c7bf9786d67b2
train,0,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\3\crop_27.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v3\train\0\27_crop_27.jpg,3,27,INCLUDED,,adb29e5033fb7ef608eb8ade752d2f24e6e8e5a44a5eb138e68dad241b824f61,81426853a90f669c1332b453ac8b5cd5583f29f68e1966bcc65c7bf9786d67b2
train,4,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\detected\3\crop_28.jpg,C:\Users\anant\OneDrive\Desktop\icdas project\data\training\versions\v3\train\4\28_crop_28.jpg,3,28,INCLUDED,,090b9d642597b194344cfd377584d6ce89e9d9ead738bca4be47a024b25e0f37,81426853a90f669c1332b453ac8b5cd5583f29f68e1966bcc65c7bf9786d67b2
