epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.8621,2.61743,2.86231,1.92363,0.01111,0.27778,0.00766,0.00171,2.75614,3.47782,2.37324,5e-05,5e-05,0.09505
2,168.541,2.2624,2.20611,1.5646,0.02833,0.70833,0.27836,0.0788,2.46525,3.35917,1.78395,0.000108911,0.000108911,0.0891089
3,233.278,2.25604,2.03796,1.52871,0.03278,0.81944,0.3778,0.10793,2.36558,2.96904,1.65484,0.000166634,0.000166634,0.0831666
4,288.733,2.14652,1.83121,1.51105,0.03389,0.84722,0.43439,0.1308,2.35315,2.87648,1.60053,0.000223169,0.000223169,0.0772232
5,338.295,2.15787,1.739,1.51101,0.03278,0.81944,0.55385,0.16912,2.32545,2.83637,1.60937,0.000278516,0.000278516,0.0712785
6,374.914,2.21794,1.67884,1.52774,0.03444,0.86111,0.58941,0.1961,2.22615,2.77956,1.5534,0.000332675,0.000332675,0.0653327
7,430.33,2.10723,1.58752,1.49291,0.03611,0.90278,0.72664,0.23139,2.11576,2.73479,1.46508,0.000385646,0.000385646,0.0593856
8,519.404,2.16483,1.54446,1.53514,0.035,0.875,0.70828,0.20514,2.09056,2.72675,1.46718,0.000437429,0.000437429,0.0534374
9,559.208,2.1373,1.56495,1.57016,0.03667,0.91667,0.69375,0.20123,2.08138,2.72589,1.4554,0.000488024,0.000488024,0.047488
10,621.73,2.19089,1.51142,1.52385,0.83362,0.34795,0.68697,0.23072,2.12111,2.52497,1.40359,0.000537431,0.000537431,0.0415374
11,657.728,2.21295,1.51332,1.52195,0.88806,0.22047,0.67424,0.2203,2.22204,2.45062,1.41448,0.00058565,0.00058565,0.0355857
12,760.925,2.10303,1.49369,1.50784,0.82571,0.20833,0.60167,0.18587,2.35245,2.39408,1.47652,0.000632681,0.000632681,0.0296327
13,865.165,2.0676,1.49274,1.49519,0.81624,0.37024,0.65371,0.20896,2.33694,2.23014,1.47143,0.000678524,0.000678524,0.0236785
14,914.545,2.10992,1.46603,1.47084,0.71277,0.625,0.69367,0.24146,2.26672,1.98977,1.46826,0.000723179,0.000723179,0.0177232
15,954.636,2.09824,1.38957,1.40557,0.71277,0.625,0.69367,0.24146,2.26672,1.98977,1.46826,0.000766646,0.000766646,0.0117666
16,986.348,2.05239,1.43141,1.44681,0.68239,0.68639,0.72835,0.25346,2.1915,1.8239,1.48039,0.000808925,0.000808925,0.00580892
17,1015,2.0706,1.47776,1.47111,0.68941,0.63889,0.66695,0.24646,2.17667,1.7051,1.49364,0.0008416,0.0008416,0.0008416
18,1042.65,2.07564,1.4166,1.4532,0.71632,0.56119,0.64967,0.23915,2.20212,1.64994,1.52536,0.0008317,0.0008317,0.0008317
19,1070.19,2.09688,1.41254,1.45581,0.71632,0.56119,0.64967,0.23915,2.20212,1.64994,1.52536,0.0008218,0.0008218,0.0008218
20,1099.82,2.05793,1.40585,1.44139,0.60876,0.61111,0.65143,0.1967,2.289,1.73842,1.57578,0.0008119,0.0008119,0.0008119
21,4765.41,2.0779,1.37208,1.40744,0.61531,0.71092,0.72085,0.21564,2.27125,1.69182,1.56675,0.000802,0.000802,0.000802
22,4810.62,2.08556,1.36879,1.44604,0.74694,0.65278,0.74173,0.24008,2.20602,1.5996,1.50925,0.0007921,0.0007921,0.0007921
23,4848.78,2.02352,1.3246,1.4239,0.74694,0.65278,0.74173,0.24008,2.20602,1.5996,1.50925,0.0007822,0.0007822,0.0007822
24,4885.13,1.99917,1.34062,1.41121,0.86068,0.68647,0.76356,0.27145,2.15976,1.5011,1.48462,0.0007723,0.0007723,0.0007723
25,4919.09,2.06446,1.33329,1.42527,0.80896,0.70578,0.7617,0.27556,2.15245,1.45401,1.49132,0.0007624,0.0007624,0.0007624
26,4958.58,2.02735,1.30451,1.39246,0.7314,0.73611,0.7442,0.2797,2.13726,1.45342,1.4749,0.0007525,0.0007525,0.0007525
27,4991.04,2.03115,1.33788,1.39101,0.7314,0.73611,0.7442,0.2797,2.13726,1.45342,1.4749,0.0007426,0.0007426,0.0007426
