epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.5407,1.96078,2.26421,1.77978,0.04205,0.56846,0.14642,0.03901,2.81937,2.79054,2.19915,0.00015,0.00015,0.08515
2,190.465,1.85092,1.69763,1.63211,0.05667,0.76603,0.49982,0.23836,1.97422,2.60662,1.5639,0.000306931,0.000306931,0.0693069
3,291.02,1.82298,1.50756,1.57156,0.05974,0.80763,0.54251,0.26693,1.83396,2.5278,1.58716,0.000460694,0.000460694,0.0534607
4,403.17,1.84386,1.44146,1.55204,0.06577,0.88908,0.56307,0.27417,1.80976,2.40355,1.58788,0.000611289,0.000611289,0.0376113
5,492.268,1.74924,1.34282,1.5042,0.82839,0.46014,0.68734,0.33297,1.73599,1.97923,1.49328,0.000758716,0.000758716,0.0217587
6,582.49,1.73573,1.28539,1.47645,0.83263,0.63778,0.74853,0.39453,1.6346,1.5667,1.40284,0.000902975,0.000902975,0.00590297
7,678.536,1.6939,1.2928,1.46515,0.84666,0.7177,0.81218,0.44646,1.54898,1.43922,1.38307,0.0009406,0.0009406,0.0009406
8,769.175,1.68616,1.29108,1.45796,0.85894,0.69671,0.79656,0.44042,1.55155,1.33484,1.3977,0.0009307,0.0009307,0.0009307
9,856.897,1.63675,1.22032,1.42977,0.90959,0.68002,0.82507,0.4629,1.48822,1.20576,1.34708,0.0009208,0.0009208,0.0009208
10,976.756,1.6619,1.29487,1.47546,0.88231,0.69151,0.8401,0.48976,1.43286,1.12824,1.29636,0.0009109,0.0009109,0.0009109
11,1064.32,1.62382,1.18227,1.4305,0.92269,0.68256,0.83444,0.46873,1.49121,1.19699,1.37066,0.000901,0.000901,0.000901
12,1154.47,1.62004,1.19348,1.40363,0.87709,0.75443,0.83767,0.46835,1.45779,1.25502,1.34262,0.0008911,0.0008911,0.0008911
13,1336.19,1.57923,1.12063,1.37344,0.9024,0.76256,0.86439,0.48935,1.40156,1.21509,1.30749,0.0008812,0.0008812,0.0008812
14,1437.36,1.6017,1.14582,1.39308,0.87528,0.7784,0.89103,0.48777,1.42929,1.10545,1.31116,0.0008713,0.0008713,0.0008713
15,1534.85,1.62468,1.17802,1.43604,0.88299,0.83702,0.91707,0.50866,1.47394,1.02763,1.31482,0.0008614,0.0008614,0.0008614
16,1631.24,1.57145,1.10008,1.39766,0.91499,0.82842,0.92298,0.52925,1.39842,0.98816,1.30939,0.0008515,0.0008515,0.0008515
17,1723,1.58247,1.10091,1.40759,0.92511,0.7921,0.89903,0.51722,1.40305,1.00679,1.30267,0.0008416,0.0008416,0.0008416
18,2317.94,1.59056,1.08867,1.37212,0.87583,0.68457,0.76794,0.43185,1.41855,1.05093,1.29972,0.0008317,0.0008317,0.0008317
19,2457.86,1.53584,1.06853,1.34433,0.87592,0.78683,0.88318,0.50993,1.38417,1.01715,1.27081,0.0008218,0.0008218,0.0008218
20,2593.59,1.5464,1.05726,1.36385,0.90324,0.85741,0.92834,0.53599,1.40863,0.92696,1.27426,0.0008119,0.0008119,0.0008119
21,2704.8,1.54288,1.02536,1.3363,0.91595,0.86881,0.9308,0.54533,1.42367,0.91798,1.29273,0.000802,0.000802,0.000802
22,2803.56,1.52582,1.02299,1.36525,0.92055,0.86348,0.93169,0.54147,1.43336,0.91938,1.29542,0.0007921,0.0007921,0.0007921
23,2909.35,1.52966,1.01511,1.33835,0.91403,0.85269,0.92517,0.51911,1.43138,0.92558,1.33217,0.0007822,0.0007822,0.0007822
24,3003.37,1.5679,1.00766,1.37254,0.88939,0.83189,0.90832,0.50258,1.45666,0.94806,1.3558,0.0007723,0.0007723,0.0007723
25,5323.43,1.51349,0.9611,1.32747,0.79523,0.41768,0.44407,0.25023,1.42078,0.96939,1.31685,0.0007624,0.0007624,0.0007624
26,5404.89,1.53605,1.01231,1.36647,0.90379,0.83036,0.92003,0.5218,1.40369,0.92844,1.29494,0.0007525,0.0007525,0.0007525
27,5478.45,1.55125,1.02093,1.39841,0.93892,0.84055,0.93732,0.54907,1.37085,0.89719,1.27993,0.0007426,0.0007426,0.0007426
28,5541.62,1.53984,0.9991,1.37486,0.91456,0.85962,0.93312,0.55207,1.37341,0.89843,1.27655,0.0007327,0.0007327,0.0007327
29,5611.49,1.5096,0.96789,1.35255,0.86582,0.8387,0.90491,0.5186,1.40279,0.92106,1.30105,0.0007228,0.0007228,0.0007228
30,5681.14,1.54596,0.9725,1.35826,0.88477,0.83838,0.89955,0.53001,1.40465,0.92256,1.2897,0.0007129,0.0007129,0.0007129
