filename,in_batch01_list,image_in_zip,image_on_disk,n_boxes,width,height
anonymous-frontalView-1727348211233.jpg,True,False,True,22,1319,989
anonymous-frontalView-1727764541094.jpg,True,False,True,14,2017,1133
anonymous-leftLateralView-1726807333703.jpg,True,False,True,11,1989,1118
anonymous-leftLateralView-1727428806555.jpg,True,False,True,12,2533,1688
anonymous-mandibularView-1726736862309.jpg,True,False,True,17,2618,1745
anonymous-mandibularView-1727864656191.jpg,True,False,True,19,1812,1358
anonymous-maxillaryView-1726807426131.jpg,True,False,True,16,2047,1151
anonymous-maxillaryView-1727782272418.jpg,True,False,True,14,1530,1146
anonymous-rightLateralView-1726814947519.jpg,True,False,True,16,1652,1239
anonymous-rightLateralView-1727683763074.jpg,True,False,True,9,1538,864
anonymous_003-007-1086-00_1732180719427_Left_Lateral_View.jpg,True,False,True,11,1367,1367
anonymous_003-007-1151-00_1732608241351_Right_Lateral_View.jpg,True,False,True,8,1871,1871
anonymous_003-007-1170-01_1732690605466_Left_Lateral_View.jpg,True,False,True,9,1138,1138
anonymous_003-007-1256-01_1733116383089_Right_Lateral_View.jpg,True,False,True,12,1706,1706
anonymous_003-007-1300-01_1733385300365_Right_Lateral_View.jpg,True,False,True,10,1513,1513
anonymous_003-007-1303-00_1733387722479_Frontal_View.jpg,True,False,True,18,1652,928
anonymous_003-007-1343-01_1733556695047_Right_Lateral_View.jpg,True,False,True,11,1548,1548
anonymous_003-007-1405-01_1733903046895_Right_Lateral_View.jpg,True,False,True,15,1791,1791
anonymous_003-007-1420-01_1733978633675_Left_Lateral_View.jpg,True,False,True,11,1311,1311
anonymous_003-007-1453-01_1734076182590_Right_Lateral_View.jpg,True,False,True,11,1403,1403
anonymous_003-007-578-01_1728969570001_Left_Lateral_View.jpg,True,False,True,8,1058,1058
anonymous_003-007-588-00_1728981913002_Left_Lateral_View.jpg,True,False,True,9,1356,1016
anonymous_003-007-603-00_1729054784683_Frontal_View.jpg,True,False,True,15,1485,834
anonymous_003-007-629-01_1729140899689_Left_Lateral_View.jpg,True,False,True,9,1200,1200
anonymous_003-007-636-00_1729148622989_Frontal_View.jpg,True,False,True,11,1690,949
anonymous_003-007-662-01_1729231169609_Frontal_View.jpg,True,False,True,16,1566,879
anonymous_003-007-669-00_1729236271453_Right_Lateral_View.jpg,True,False,True,11,1459,973
anonymous_003-007-694-00_1729315527929_Left_Lateral_View.jpg,True,False,True,9,1277,851
anonymous_003-007-710-01_1729485813570_Frontal_View.jpg,True,False,True,16,1527,857
anonymous_003-007-719-00_1729496830754_Right_Lateral_View.jpg,True,False,True,14,1366,1366
anonymous_003-007-722-01_1729499124205_Left_Lateral_View.jpg,True,False,True,12,1273,1273
anonymous_003-007-764-01_1729742719636_Frontal_View.jpg,True,False,True,18,1624,912
anonymous_003-007-784-00_1729833168029_Left_Lateral_View.jpg,True,False,True,10,1326,1326
anonymous_003-007-835-00_1730098029605_Frontal_View.jpg,True,False,True,15,1564,878
anonymous_003-007-874-01_1730269462019_Frontal_View.jpg,True,False,True,14,1790,1005
anonymous_003-007-902-01_1730356318368_Left_Lateral_View.jpg,True,False,True,7,2022,2022
anonymous_003-007-966-00_1730877856983_Frontal_View.jpg,True,False,True,13,1753,985
anonymous_003-008-1000-01_1730983693489_Mandibular_View.jpg,True,False,True,9,1412,1058
anonymous_003-008-1113-01_1732361420661_Mandibular_View.jpg,True,False,True,8,1327,994
anonymous_003-008-1136-00_1732533544748_Maxillary_Occlusal_View.jpg,True,False,True,8,1643,1232
anonymous_003-008-1137-01_1732535092563_Mandibular_View.jpg,True,False,True,7,1420,1064
anonymous_003-008-1155-00_1732617388713_Right_Lateral_View.jpg,True,False,True,10,1158,650
anonymous_003-008-1205-01_1732794208125_Maxillary_Occlusal_View.jpg,True,False,True,9,1916,1076
anonymous_003-008-1225-00_1732878129340_Mandibular_View.jpg,True,False,True,8,1368,1026
anonymous_003-008-1275-00_1733142218216_Maxillary_Occlusal_View.jpg,True,False,True,16,1413,1059
anonymous_003-008-1304-01_1733394354138_Mandibular_View.jpg,True,False,True,17,1484,1112
anonymous_003-008-1346-00_1733568350332_Maxillary_Occlusal_View.jpg,True,False,True,16,1484,833
anonymous_003-008-1396-00_1733833829814_Mandibular_View.jpg,True,False,True,14,1268,950
anonymous_003-008-1409-01_1733910983435_Maxillary_Occlusal_View.jpg,True,False,True,14,1317,987
anonymous_003-008-1457-01_1734085909506_Mandibular_View.jpg,True,False,True,14,1462,1096
anonymous_003-008-589-01_1728986264902_Frontal_View.jpg,True,False,True,14,1741,978
anonymous_003-008-596-01_1729002084186_Maxillary_Occlusal_View.jpg,True,False,True,15,1512,1133
anonymous_003-008-622-01_1729087609045_Maxillary_Occlusal_View.jpg,True,False,True,14,1841,1380
anonymous_003-008-652-00_1729170164776_Mandibular_View.jpg,True,False,True,13,1098,823
anonymous_003-008-740-01_1729594985183_Maxillary_Occlusal_View.jpg,True,False,True,13,1372,1028
anonymous_003-008-856-00_1730197612329_Right_Lateral_View.jpg,True,False,True,11,1219,685
anonymous_003-008-859-01_1730202467399_Mandibular_View.jpg,True,False,True,14,1295,971
anonymous_003-008-862-00_1730205438736_Maxillary_Occlusal_View.jpg,True,False,True,15,1523,1141
anonymous_003-008-998-01_1730980715687_Mandibular_View.jpg,True,False,True,21,1191,893
anonymous_003-009-703-00_1729334403549_Maxillary_Occlusal_View.jpg,True,False,True,14,1719,1146
