aspect,box_area,h,iou,poly_box_ratio,reasons,split,stem,w
2.852,0.000972,0.0527,,1.0,extremely_small,train,OHI_dataset_MG_3889_JPG.rf.1e21792e6e4a29ef6d3f5596f5591a22,0.0185
2.852,0.000854,0.0494,,1.0,extremely_small,train,OHI_dataset_MG_3889_JPG.rf.bf0412bec550359937b027a1f4b74e6b,0.0173
7.029,0.001316,0.0962,,1.0,extreme_aspect,train,OHI_dataset_MG_4765_JPG.rf.856662d380002ab196e4491f8488fe42,0.0137
2.267,0.034169,0.2783,,0.4578,touches_boundary,train,OHI_datasetcrop_open_jpg.rf.2a01a46fb015a4d8f1626af2fad8b137,0.1228
2.972,0.016205,0.2194,,0.522,touches_boundary,train,OHI_datasetcrop_open_jpg.rf.2a01a46fb015a4d8f1626af2fad8b137,0.0738
3.919,0.002991,0.1083,,0.5101,touches_boundary,train,OHI_datasetcrop_open_jpg.rf.2a01a46fb015a4d8f1626af2fad8b137,0.0276
1.882,0.092174,0.4165,,0.529,touches_boundary,train,OHI_datasetcrop_open_jpg.rf.2a01a46fb015a4d8f1626af2fad8b137,0.2213
1.27,0.03214,0.202,,0.9711,touches_boundary,train,OHI_datasetcrop_upper_jpg.rf.6e3d40054706d11a67724da9ae76db45,0.1591
1.116,0.037219,0.2038,,0.7608,touches_boundary,train,OHI_datasetflip_IMG_2188_jpg.rf.6c9a71c0e9aaf424c68bb7addc2af3c8,0.1826
1.17,0.03961,0.2153,,0.7657,touches_boundary,train,OHI_datasetflip_IMG_2188_jpg.rf.6c9a71c0e9aaf424c68bb7addc2af3c8,0.184
1.865,0.052099,0.3117,,0.7946,touches_boundary,train,OHI_datasetflip_IMG_2188_jpg.rf.6c9a71c0e9aaf424c68bb7addc2af3c8,0.1671
1.105,0.05263,0.2182,,0.7956,touches_boundary,train,OHI_datasetflip_IMG_2188_jpg.rf.6c9a71c0e9aaf424c68bb7addc2af3c8,0.2412
1.066,0.030184,0.1683,,0.8154,touches_boundary,train,OHI_datasetflip_IMG_2188_jpg.rf.d79a12b0b873ca86717924c45c7eb897,0.1793
1.013,0.033515,0.1843,,0.8225,touches_boundary,train,OHI_datasetflip_IMG_2188_jpg.rf.d79a12b0b873ca86717924c45c7eb897,0.1819
1.48,0.075823,0.335,,0.7876,touches_boundary,train,OHI_datasetflip_IMG_2188_jpg.rf.d79a12b0b873ca86717924c45c7eb897,0.2263
2.178,0.045976,0.3165,,0.8174,touches_boundary,train,OHI_datasetflip_IMG_2188_jpg.rf.d79a12b0b873ca86717924c45c7eb897,0.1453
1.055,0.057006,0.2325,,0.8271,touches_boundary,train,OHI_datasetflip_IMG_2188_jpg.rf.d79a12b0b873ca86717924c45c7eb897,0.2452
1.428,0.024069,0.1298,,0.8362,touches_boundary,train,OHI_datasetgallery_-100616823_penta_lower_m_jpg.rf.3846498da85c8d680fb0627bce7b46bc,0.1854
1.625,0.031648,0.2268,,0.9267,touches_boundary,train,OHI_datasetgallery_-100616823_penta_upper_m_jpg.rf.1025024391fc21d64baca23376ac286c,0.1395
1.475,0.020018,0.1719,,0.9387,touches_boundary,train,OHI_datasetgallery_-100616823_penta_upper_m_jpg.rf.1025024391fc21d64baca23376ac286c,0.1165
1.719,0.02853,0.2215,,0.9631,touches_boundary,train,OHI_datasetgallery_-100616823_penta_upper_m_jpg.rf.d3196c122127bd6e129bd950b81ccedb,0.1288
